
Generic Name,Company Name, Contact Info, Presentation, Type of Update,Date of Update, Availability Information, Related Information, Resolved Note, Reason for Shortage, Therapeutic Category, Status, Change Date, Date Discontinued, Initial Posting Date, Generic Name Note, Generic Name Link , Company Info Link, Availability Link, Related Info Link,   Resolved Note Link, Discontinued Note Link
"Lisdexamfetamine Dimesylate Capsule","SpecGx LLC","800-325-8888","Capsule, 30 mg (NDC 0406-5113-01)","Revised","08/02/2024","Limited Availability","Available to primary customers only. Backorder projected in mid August","","Shortage of an active ingredient","Psychiatry","Current","","","07/14/2023","","","","","","",""
"Lisdexamfetamine Dimesylate Capsule","SpecGx LLC","800-325-8888","Capsule, 40 mg (NDC 0406-5114-01)","Revised","08/02/2024","Unavailable","Backorder. Next release mid August. Backorder expected again in September","","Shortage of an active ingredient","Psychiatry","Current","","","07/14/2023","","","","","","",""
"Lisdexamfetamine Dimesylate Capsule","SpecGx LLC","800-325-8888","Capsule, 50 mg (NDC 0406-5115-01)","Revised","08/02/2024","Unavailable","Backorder. Next release mid August. Backorder expected again in October","","Shortage of an active ingredient","Psychiatry","Current","","","07/14/2023","","","","","","",""
"Lisdexamfetamine Dimesylate Capsule","SpecGx LLC","800-325-8888","Capsule, 60 mg (NDC 0406-5116-01)","Revised","08/02/2024","Unavailable","On backorder","","Shortage of an active ingredient","Psychiatry","Current","","","07/14/2023","","","","","","",""
"Lisdexamfetamine Dimesylate Capsule","SpecGx LLC","800-325-8888","Capsule, 70 mg (NDC 0406-5117-01)","Revised","08/02/2024","Unavailable","On backorder.","","Shortage of an active ingredient","Psychiatry","Current","","","07/14/2023","","","","","","",""
"Lisdexamfetamine Dimesylate Capsule","Hikma Pharmaceuticals USA, Inc.","800-631-2174","Capsule, 20 mg (NDC 0054-0370-25)","Reverified","07/25/2024","Limited Availability","Available on allocation","","Shortage of an active ingredient","Psychiatry","Current","","","07/14/2023","","","","","","",""
"Lisdexamfetamine Dimesylate Capsule","Hikma Pharmaceuticals USA, Inc.","800-631-2174","Capsule, 30 mg (NDC 0054-0371-25)","Reverified","07/25/2024","Limited Availability","Available on allocation","","Shortage of an active ingredient","Psychiatry","Current","","","07/14/2023","","","","","","",""
"Lisdexamfetamine Dimesylate Capsule","Hikma Pharmaceuticals USA, Inc.","800-631-2174","Capsule, 40 mg (NDC 0054-0372-25)","Reverified","07/25/2024","Limited Availability","Available on allocation","","Shortage of an active ingredient","Psychiatry","Current","","","07/14/2023","","","","","","",""
"Lisdexamfetamine Dimesylate Capsule","Hikma Pharmaceuticals USA, Inc.","800-631-2174","Capsule, 50 mg (NDC 0054-0373-25)","Reverified","07/25/2024","Limited Availability","Available on allocation","","Shortage of an active ingredient","Psychiatry","Current","","","07/14/2023","","","","","","",""
"Lisdexamfetamine Dimesylate Capsule","Hikma Pharmaceuticals USA, Inc.","800-631-2174","Capsule, 60 mg (NDC 0054-0374-25)","Reverified","07/25/2024","Limited Availability","Available on allocation","","Shortage of an active ingredient","Psychiatry","Current","","","07/14/2023","","","","","","",""
"Lisdexamfetamine Dimesylate Capsule","Hikma Pharmaceuticals USA, Inc.","800-631-2174","Capsule, 70 mg (NDC 0054-0375-25)","Reverified","07/25/2024","Limited Availability","Available on allocation","","Shortage of an active ingredient","Psychiatry","Current","","","07/14/2023","","","","","","",""
"Lisdexamfetamine Dimesylate Capsule","Lannett Company, Inc.","844-834-0530","Capsule, 10 mg (NDC 0527-4661-37)","Revised","07/15/2024","Limited Availability","Allocating limited inventory","","Shortage of an active ingredient","Psychiatry","Current","","","07/14/2023","","","","","","",""
"Lisdexamfetamine Dimesylate Capsule","Lannett Company, Inc.","844-834-0530","Capsule, 20 mg (NDC 0527-4662-37)","Revised","07/15/2024","Limited Availability","Allocating limited inventory","","Shortage of an active ingredient","Psychiatry","Current","","","07/14/2023","","","","","","",""
"Lisdexamfetamine Dimesylate Capsule","Lannett Company, Inc.","844-834-0530","Capsule, 30 mg (NDC 0527-4663-37)","Revised","07/15/2024","Limited Availability","Allocating limited inventory","","Shortage of an active ingredient","Psychiatry","Current","","","07/14/2023","","","","","","",""
"Lisdexamfetamine Dimesylate Capsule","Lannett Company, Inc.","844-834-0530","Capsule, 40 mg (NDC 0527-4664-37)","Revised","07/15/2024","Limited Availability","Allocating limited inventory","","Shortage of an active ingredient","Psychiatry","Current","","","07/14/2023","","","","","","",""
"Lisdexamfetamine Dimesylate Capsule","Lannett Company, Inc.","844-834-0530","Capsule, 50 mg (NDC 0527-4665-37)","Reverified","07/15/2024","Unavailable","","","Shortage of an active ingredient","Psychiatry","Current","","","07/14/2023","","","","","","",""
"Lisdexamfetamine Dimesylate Capsule","Lannett Company, Inc.","844-834-0530","Capsule, 60 mg (NDC 0527-4666-37)","Reverified","07/15/2024","Unavailable","","","Shortage of an active ingredient","Psychiatry","Current","","","09/20/2023","","","","","","",""
"Lisdexamfetamine Dimesylate Capsule","Lannett Company, Inc.","844-834-0530","Capsule, 70 mg (NDC 0527-4667-37)","Reverified","07/15/2024","Unavailable","","","Shortage of an active ingredient","Psychiatry","Current","","","07/14/2023","","","","","","",""
"Lisdexamfetamine Dimesylate Capsule","Amneal Pharmaceuticals","866-525-7270","Capsule, 20 mg (NDC 65162-023-09)","Reverified","07/09/2024","Unavailable","","","Shortage of an active ingredient","Psychiatry","Current","","","07/14/2023","","","","","","",""
"Lisdexamfetamine Dimesylate Capsule","Amneal Pharmaceuticals","866-525-7270","Capsule, 30 mg (NDC 65162-024-09)","Reverified","07/09/2024","Unavailable","","","Shortage of an active ingredient","Psychiatry","Current","","","07/14/2023","","","","","","",""
"Lisdexamfetamine Dimesylate Capsule","Amneal Pharmaceuticals","866-525-7270","Capsule, 40 mg (NDC 65162-025-09)","Reverified","07/09/2024","Unavailable","","","Shortage of an active ingredient","Psychiatry","Current","","","07/14/2023","","","","","","",""
"Lisdexamfetamine Dimesylate Capsule","Amneal Pharmaceuticals","866-525-7270","Capsule, 50 mg (NDC 65162-026-09)","Reverified","07/09/2024","Unavailable","","","Shortage of an active ingredient","Psychiatry","Current","","","07/14/2023","","","","","","",""
"Lisdexamfetamine Dimesylate Capsule","Amneal Pharmaceuticals","866-525-7270","Capsule, 60 mg (NDC 65162-027-09)","Reverified","07/09/2024","Unavailable","","","Shortage of an active ingredient","Psychiatry","Current","","","07/14/2023","","","","","","",""
"Lisdexamfetamine Dimesylate Capsule","Amneal Pharmaceuticals","866-525-7270","Capsule, 70 mg (NDC 65162-028-09)","Reverified","07/09/2024","Unavailable","","","Shortage of an active ingredient","Psychiatry","Current","","","07/14/2023","","","","","","",""
"Lisdexamfetamine Dimesylate Capsule","Solco Healthcare US, LLC","866-931-9829","Capsule, 10 mg (NDC 43547-602-10)","Reverified","06/17/2024","Limited Availability","On allocation","","Shortage of an active ingredient","Psychiatry","Current","","","07/14/2023","","","","","","",""
"Lisdexamfetamine Dimesylate Capsule","Solco Healthcare US, LLC","866-931-9829","Capsule, 20 mg (NDC 43547-603-10)","Reverified","06/17/2024","Limited Availability","On allocation","","Shortage of an active ingredient","Psychiatry","Current","","","07/14/2023","","","","","","",""
"Lisdexamfetamine Dimesylate Capsule","Solco Healthcare US, LLC","866-931-9829","Capsule, 30 mg (NDC 43547-604-10)","Reverified","06/17/2024","Limited Availability","On allocation","","Shortage of an active ingredient","Psychiatry","Current","","","07/14/2023","","","","","","",""
"Lisdexamfetamine Dimesylate Capsule","Solco Healthcare US, LLC","866-931-9829","Capsule, 40 mg (NDC 43547-605-10)","Reverified","06/17/2024","Limited Availability","On allocation","","Shortage of an active ingredient","Psychiatry","Current","","","07/14/2023","","","","","","",""
"Lisdexamfetamine Dimesylate Capsule","Solco Healthcare US, LLC","866-931-9829","Capsule, 50 mg (NDC 43547-606-10)","Reverified","06/17/2024","Limited Availability","On allocation","","Shortage of an active ingredient","Psychiatry","Current","","","07/14/2023","","","","","","",""
"Lisdexamfetamine Dimesylate Capsule","Solco Healthcare US, LLC","866-931-9829","Capsule, 60 mg (NDC 43547-607-10)","Reverified","06/17/2024","Limited Availability","On allocation","","Shortage of an active ingredient","Psychiatry","Current","","","07/14/2023","","","","","","",""
"Lisdexamfetamine Dimesylate Capsule","Solco Healthcare US, LLC","866-931-9829","Capsule, 70 mg (NDC 43547-608-10)","Reverified","06/17/2024","Limited Availability","On allocation","","Shortage of an active ingredient","Psychiatry","Current","","","07/14/2023","","","","","","",""
"Lisdexamfetamine Dimesylate Tablet, Chewable","Sun Pharmaceutical Industries, Inc.","800-818-4555","Tablet, Chewable, 10 mg (NDC 57664-083-88)","Reverified","07/08/2024","Limited Availability","","","Shortage of an active ingredient","Psychiatry","Current","","","07/14/2023","","","","","","",""
"Lisdexamfetamine Dimesylate Tablet, Chewable","Sun Pharmaceutical Industries, Inc.","800-818-4555","Tablet, Chewable, 20 mg (NDC 57664-084-88)","Reverified","07/08/2024","Limited Availability","","","Shortage of an active ingredient","Psychiatry","Current","","","07/14/2023","","","","","","",""
"Lisdexamfetamine Dimesylate Tablet, Chewable","Sun Pharmaceutical Industries, Inc.","800-818-4555","Tablet, Chewable, 30 mg (NDC 57664-085-88)","Reverified","07/08/2024","Limited Availability","","","Shortage of an active ingredient","Psychiatry","Current","","","07/14/2023","","","","","","",""
"Lisdexamfetamine Dimesylate Tablet, Chewable","Sun Pharmaceutical Industries, Inc.","800-818-4555","Tablet, Chewable, 50 mg (NDC 57664-087-88)","Reverified","07/08/2024","Limited Availability","","","Shortage of an active ingredient","Psychiatry","Current","","","07/14/2023","","","","","","",""
"Lisdexamfetamine Dimesylate Tablet, Chewable","Sun Pharmaceutical Industries, Inc.","800-818-4555","Tablet, Chewable, 60 mg (NDC 57664-088-88)","Reverified","07/08/2024","Limited Availability","","","Shortage of an active ingredient","Psychiatry","Current","","","07/14/2023","","","","","","",""
"Lisdexamfetamine Dimesylate Tablet, Chewable","Sun Pharmaceutical Industries, Inc.","800-818-4555","Tablet, Chewable, 40 mg (NDC 57664-086-88)","Reverified","07/08/2024","Limited Availability","","","Shortage of an active ingredient","Psychiatry","Current","","","07/14/2023","","","","","","",""
"Lisdexamfetamine Dimesylate Tablet, Chewable","Takeda Pharmaceuticals USA Inc.","877-TAKEDA-7 (1-877-825-3327)","Vyvanse, Tablet, Chewable, 10 mg (NDC 59417-115-01)","Reverified","06/24/2024","Available","","","","Psychiatry","Current","","","07/14/2023","","","","","","",""
"Lisdexamfetamine Dimesylate Tablet, Chewable","Takeda Pharmaceuticals USA Inc.","877-TAKEDA-7 (1-877-825-3327)","Vyvanse, Tablet, Chewable, 20 mg (NDC 59417-116-01)","Reverified","06/24/2024","Available","","","","Psychiatry","Current","","","07/14/2023","","","","","","",""
"Lisdexamfetamine Dimesylate Tablet, Chewable","Takeda Pharmaceuticals USA Inc.","877-TAKEDA-7 (1-877-825-3327)","Vyvanse, Tablet, Chewable, 30 mg (NDC 59417-117-01)","Reverified","06/24/2024","Available","","","","Psychiatry","Current","","","07/14/2023","","","","","","",""
"Lisdexamfetamine Dimesylate Tablet, Chewable","Takeda Pharmaceuticals USA Inc.","877-TAKEDA-7 (1-877-825-3327)","Vyvanse, Tablet, Chewable, 40 mg (NDC 59417-118-01)","Reverified","06/24/2024","Available","","","","Psychiatry","Current","","","07/14/2023","","","","","","",""
"Lisdexamfetamine Dimesylate Tablet, Chewable","Takeda Pharmaceuticals USA Inc.","877-TAKEDA-7 (1-877-825-3327)","Vyvanse, Tablet, Chewable, 50 mg (NDC 59417-119-01)","Reverified","06/24/2024","Available","","","","Psychiatry","Current","","","07/14/2023","","","","","","",""
"Lisdexamfetamine Dimesylate Tablet, Chewable","Takeda Pharmaceuticals USA Inc.","877-TAKEDA-7 (1-877-825-3327)","Vyvanse, Tablet, Chewable, 60 mg (NDC 59417-120-01)","Reverified","06/24/2024","Available","","","","Psychiatry","Current","","","07/14/2023","","","","","","",""
"Lisdexamfetamine Dimesylate Tablet, Chewable","Novadoz Pharmaceuticals LLC","(855) 668-2369; customerservice@novadozpharma.com","Lisdexamfetamine Dimesylate, Tablet, Chewable, 10 mg (NDC 72205-132-91)","Revised","07/18/2024","Available","","","Shortage of an active ingredient","Psychiatry","Current","","","07/14/2023","","","","","","",""
"Lisdexamfetamine Dimesylate Tablet, Chewable","Novadoz Pharmaceuticals LLC","(855) 668-2369; customerservice@novadozpharma.com","Lisdexamfetamine Dimesylate, Tablet, Chewable, 20 mg (NDC 72205-133-91)","Revised","07/18/2024","Available","","","Shortage of an active ingredient","Psychiatry","Current","","","07/14/2023","","","","","","",""
"Lisdexamfetamine Dimesylate Tablet, Chewable","Novadoz Pharmaceuticals LLC","(855) 668-2369; customerservice@novadozpharma.com","Lisdexamfetamine Dimesylate, Tablet, Chewable, 30 mg (NDC 72205-134-91)","Revised","07/18/2024","Available","","","Shortage of an active ingredient","Psychiatry","Current","","","07/14/2023","","","","","","",""
"Lisdexamfetamine Dimesylate Tablet, Chewable","Novadoz Pharmaceuticals LLC","(855) 668-2369; customerservice@novadozpharma.com","Lisdexamfetamine Dimesylate, Tablet, Chewable, 40 mg (NDC 72205-135-91)","Revised","07/18/2024","Available","","","Shortage of an active ingredient","Psychiatry","Current","","","07/14/2023","","","","","","",""
"Lisdexamfetamine Dimesylate Tablet, Chewable","Novadoz Pharmaceuticals LLC","(855) 668-2369; customerservice@novadozpharma.com","Lisdexamfetamine Dimesylate, Tablet, Chewable, 50 mg (NDC 72205-136-91)","Revised","07/18/2024","Available","","","Shortage of an active ingredient","Psychiatry","Current","","","07/14/2023","","","","","","",""
"Lisdexamfetamine Dimesylate Tablet, Chewable","Novadoz Pharmaceuticals LLC","(855) 668-2369; customerservice@novadozpharma.com","Lisdexamfetamine Dimesylate, Tablet, Chewable, 60 mg (NDC 72205-137-91)","Revised","07/18/2024","Available","","","Shortage of an active ingredient","Psychiatry","Current","","","07/14/2023","","","","","","",""
"Lithium Carbonate Tablet, Extended Release","Mylan Pharmaceuticals Inc., a Viatris Company","800-796-9526","Lithium Carbonate, Tablet, Extended Release, 300 mg (NDC 0378-1300-01)","New","10/04/2023","","Discontinuance of the manufacture of the drug","","Discontinuation of the manufacture of the drug","Psychiatry","To Be Discontinued","","10/04/2023","10/04/2023","","","","","","",""
"Lithium Carbonate Tablet, Extended Release","Mylan Pharmaceuticals Inc., a Viatris Company","800-796-9526","Lithium Carbonate, Tablet, Extended Release, 300 mg (NDC 0378-1300-05)","New","10/04/2023","","Discontinuance of the manufacture of the drug","","Discontinuation of the manufacture of the drug","Psychiatry","To Be Discontinued","","10/04/2023","10/04/2023","","","","","","",""
"Lithium Carbonate Tablet, Extended Release","Mylan Pharmaceuticals Inc., a Viatris Company","800-796-9526","Lithium Carbonate, Tablet, Extended Release, 450 mg (NDC 0378-1450-01)","New","10/04/2023","","Discontinuance of the manufacture of the drug","","Discontinuation of the manufacture of the drug","Psychiatry","To Be Discontinued","","10/04/2023","10/04/2023","","","","","","",""
"Lorazepam Injection","Hospira, Inc., a Pfizer Company","844-646-4398","Injection, 2 mg/1 mL Syringes (NDC 0409-1985-30)","Revised","07/30/2024","Limited Availability","Limited Supply Available. Next Delivery: July 2024; Estimated Recovery: September 2024","","Demand increase for the drug","Neurology","Current","","","05/03/2018","","","","","","",""
"Lorazepam Injection","Amphastar Pharmaceuticals, Inc.","800-423-4136","Injection, 2 mg/1 mL (NDC 76329-8261-1)","Reverified","07/19/2024","Limited Availability","","","Demand increase for the drug","Neurology","Current","","","05/03/2018","","","","","","",""
"Lorazepam Injection","Hikma Pharmaceuticals USA, Inc.","800-631-2174","Ativan Injection (lorazepam injection, USP), Injection, 2 mg/1 mL (NDC 0641-6001-25)","Revised","07/25/2024","Unavailable","Additional lots are scheduled to be manufactured.  Product will be made available as it is released.","","Demand increase for the drug","Neurology","Current","","","09/05/2018","","","","","","",""
"Lorazepam Injection","Hikma Pharmaceuticals USA, Inc.","800-631-2174","Ativan Injection (lorazepam injection, USP), Injection, 2 mg/1 mL (NDC 0641-6000-10)","Reverified","07/25/2024","Unavailable","Additional lots are scheduled to be manufactured.  Product will be made available as it is released.","","Demand increase for the drug","Neurology","Current","","","09/05/2018","","","","","","",""
"Lorazepam Injection","Hikma Pharmaceuticals USA, Inc.","800-631-2174","Ativan Injection (lorazepam injection, USP), Injection, 4 mg/1 mL (NDC 0641-6003-25)","Reverified","07/25/2024","Unavailable","Additional lots are scheduled to be manufactured.  Product will be made available as it is released.","","Demand increase for the drug","Neurology","Current","","","09/05/2018","","","","","","",""
"Lorazepam Injection","Hikma Pharmaceuticals USA, Inc.","800-631-2174","Ativan Injection (lorazepam injection, USP), Injection, 4 mg/1 mL (NDC 0641-6002-10)","Reverified","07/25/2024","Unavailable","Additional lots are scheduled to be manufactured.  Product will be made available as it is released.","","Demand increase for the drug","Neurology","Current","","","09/05/2018","","","","","","",""
"Lorazepam Injection","Hikma Pharmaceuticals USA, Inc.","800-631-2174","Lorazepam injection, USP, Injection, 2 mg/1 mL (NDC 0641-6044-25)","Reverified","07/25/2024","Unavailable","Product will be made available as it is released.","","Demand increase for the drug","Neurology","Current","","","09/05/2018","","","","","","",""
"Lorazepam Injection","Hikma Pharmaceuticals USA, Inc.","800-631-2174","Lorazepam injection, USP, Injection, 2 mg/1 mL (NDC 0641-6046-10)","Reverified","07/25/2024","Unavailable","Additional lots are scheduled to be manufactured.  Product will be made available as it is released.","","Demand increase for the drug","Neurology","Current","","","09/05/2018","","","","","","",""
"Lorazepam Injection","Hikma Pharmaceuticals USA, Inc.","800-631-2174","Lorazepam injection, USP, Injection, 4 mg/1 mL (NDC 0641-6045-25)","Reverified","07/25/2024","Unavailable","Additional lots are scheduled to be manufactured.  Product will be made available as it is released.","","Demand increase for the drug","Neurology","Current","","","09/05/2018","","","","","","",""
"Lorazepam Injection","Hikma Pharmaceuticals USA, Inc.","800-631-2174","Lorazepam injection, USP, Injection, 4 mg/1 mL (NDC 0641-6002-10)","Revised","07/25/2024","Unavailable","Additional lots are scheduled to be manufactured.  Product will be made available as it is released.","","Demand increase for the drug","Neurology","Current","","","09/05/2018","","","","","","",""
"Mafenide Acetate Solution","Par Pharmaceutical, Inc.","800-828-9393","Solution, 50 g (NDC 49884-902-78)","New","11/30/2023","","","","Discontinuation of the manufacture of the drug","Dermatology","To Be Discontinued","","11/30/2023","11/30/2023","","","","","","",""
"Mannitol Injection","Baxter Healthcare","888-229-0001","Osmitrol, Injection, 20 g/100 mL (NDC 0338-0357-02)","Revised","02/20/2024","","","Available","","Renal","Resolved","02/20/2024","","09/23/2021","","","","","","",""
"Mannitol Injection","Fresenius Kabi USA, LLC","888-386-1300","Mannitol 25%, Injection, 250 mg/1 mL (NDC 63323-024-25)","Revised","02/20/2024","","","Available","","Renal","Resolved","02/20/2024","","09/23/2021","","","","","","",""
"Mannitol Injection","Hospira, Inc., a Pfizer Company","844-646-4398","Injection, 12.5 g/50 mL (NDC 0409-4031-01)","Revised","02/20/2024","","","Available","","Renal","Resolved","02/20/2024","","09/23/2021","","","","","","",""
"Mannitol Injection","Baxter Healthcare","888-229-0001","Osmitrol, Injection, 0.1 (NDC 0338-0353-03)","Revised","02/20/2024","","","Available","","Renal","Resolved","02/20/2024","","09/23/2021","","","","","","",""
"Mannitol Injection","Baxter Healthcare","888-229-0001","Osmitrol, Injection, 20 g/100 mL (NDC 0338-0357-03)","Revised","02/20/2024","","","Available","","Renal","Resolved","02/20/2024","","09/23/2021","","","","","","",""
"Mannitol Injection","ICU Medical, Inc.","1-866-829-9025 or ProductAvailability@icumed.com","Mannitol 20% In Plastic Container, Injection, 20 g/100 mL (NDC 0990-7715-03)","Revised","02/20/2024","","","Available","","Renal","Resolved","02/20/2024","","09/23/2021","","","","","","",""
"Mannitol Injection","ICU Medical, Inc.","1-866-829-9025 or ProductAvailability@icumed.com","Mannitol 20% In Plastic Container, Injection, 20 g/100 mL (NDC 0990-7715-02)","Revised","02/20/2024","","","Available","","Renal","Resolved","02/20/2024","","09/23/2021","","","","","","",""
"Mannitol Injection","B. Braun Medical Inc.","800-227-2862","Injection, 20 g/100 mL (NDC 0264-7578-20)","Revised","02/20/2024","","","Available","","Renal","Resolved","02/20/2024","","09/23/2021","","","","","","",""
"Mefloquine Hydrochloride Tablet","Teva Pharmaceuticals USA, Inc.","800-545-8800","Mefloquine HCl Tablets USP, Tablet, 250 mg (NDC 0555-0171-78)","Reverified","07/19/2024","Available","-","","","Anti-Infective","Current","","","05/14/2024","","","","","","",""
"Melphalan Tablet","Alvogen","844-842-8672","Tablet, 2 mg (NDC 47781-200-50)","New","02/23/2024","","Discontinuation due to low sales volume.   Supply currently available with April, 2024 expiry dating.","","","Oncology","To Be Discontinued","","02/23/2024","02/23/2024","","","","","","",""
"Memantine Hydrochloride Capsule, Extended Release","AbbVie Inc.","Allergan, Inc.: 800-678-1605","Namenda XR, Capsule, Extended Release, 7mg +14 mg+21 mg+28mg (NDC 0456-3400-29)","New","08/07/2024","","Distributed by Allergan, Inc.","","","Neurology","To Be Discontinued","","08/07/2024","08/07/2024","","","","","","",""
"Memantine Hydrochloride Capsule, Extended Release","AbbVie Inc.","Allergan, Inc.: 800-678-1605","Namenda XR, Capsule, Extended Release, 14 mg (NDC 0456-3414-33)","New","08/07/2024","","Distributed by Allergan, Inc.","","","Neurology","To Be Discontinued","","08/07/2024","08/07/2024","","","","","","",""
"Memantine Hydrochloride Capsule, Extended Release","AbbVie Inc.","Allergan, Inc.: 800-678-1605","Namenda XR, Capsule, Extended Release, 14mg (NDC 0456-3414-90)","New","08/07/2024","","Distributed by Allergan, Inc.","","","Neurology","To Be Discontinued","","08/07/2024","08/07/2024","","","","","","",""
"Memantine Hydrochloride Capsule, Extended Release","AbbVie Inc.","Allergan, Inc.: 800-678-1605","Namenda XR, Capsule, Extended Release, 21 mg (NDC 0456-3421-33)","New","08/07/2024","","Distributed by Allergan, Inc.","","","Neurology","To Be Discontinued","","08/07/2024","08/07/2024","","","","","","",""
"Memantine Hydrochloride Capsule, Extended Release","AbbVie Inc.","Allergan, Inc.: 800-678-1605","Namenda XR, Capsule, Extended Release, 28 mg (NDC 0456-3428-33)","New","08/07/2024","","Distributed by Allergan, Inc.","","","Neurology","To Be Discontinued","","08/07/2024","08/07/2024","","","","","","",""
"Memantine Hydrochloride Capsule, Extended Release","AbbVie Inc.","Allergan, Inc.: 800-678-1605","Namenda XR, Capsule, Extended Release, 28 mg (NDC 0456-3428-90)","New","08/07/2024","","Distributed by Allergan, Inc.","","","Neurology","To Be Discontinued","","08/07/2024","08/07/2024","","","","","","",""
"Mepivacaine Hydrochloride Injection","Fresenius Kabi USA, LLC","888-386-1300","Polocaine, Injection, 10 mg/1 mL (NDC 63323-283-57)","Revised","02/15/2024","","","Available","","Anesthesia","Resolved","02/15/2024","","07/14/2021","","","","","","",""
"Mepivacaine Hydrochloride Injection","Fresenius Kabi USA, LLC","888-386-1300","Polocaine, Injection, 20 mg/1 mL (NDC 63323-296-57)","Revised","02/15/2024","","","Available","","Anesthesia","Resolved","02/15/2024","","07/14/2021","","","","","","",""
"Mepivacaine Hydrochloride Injection","Fresenius Kabi USA, LLC","888-386-1300","Polocaine-mpf, Injection, 10 mg/1 mL (NDC 63323-260-37)","Revised","02/15/2024","","","Available","","Anesthesia","Resolved","02/15/2024","","07/14/2021","","","","","","",""
"Mepivacaine Hydrochloride Injection","Fresenius Kabi USA, LLC","888-386-1300","Polocaine-mpf, Injection, 15 mg/1 mL (NDC 63323-293-37)","Revised","02/15/2024","","","","","Anesthesia","Resolved","02/15/2024","","07/14/2021","","","","","","",""
"Mepivacaine Hydrochloride Injection","Fresenius Kabi USA, LLC","888-386-1300","Polocaine-mpf, Injection, 20 mg/1 mL (NDC 63323-294-27)","Revised","02/15/2024","","","","","Anesthesia","Resolved","02/15/2024","","07/14/2021","","","","","","",""
"Mesalamine Capsule, Delayed Release","AbbVie Inc.","800-633-9110","Delzicol, Capsule, Delayed Release, 400 mg (NDC 0023-5853-18)","New","10/25/2023","","Sales expected to last until June 2024","","Discontinuation of the manufacture of the drug","Gastroenterology","To Be Discontinued","","10/25/2023","10/25/2023","","","","","","",""
"Mesalamine Capsule, Delayed Release","AbbVie Inc.","800-633-9110","Capsule, Delayed Release, 400 mg (NDC 59762-0117-1)","New","10/25/2023","","Sales expected to last until June 2024","","Discontinuation of the manufacture of the drug","Gastroenterology","To Be Discontinued","","10/25/2023","10/25/2023","","","","","","",""
"Mesalamine Tablet, Delayed Release","Takeda Pharmaceuticals USA Inc.","866-861-1750","Tablet, Delayed Release, 1.2 g (NDC 54092-100-01)","New","02/06/2024","","The brand LIALDA will continue to be available","","","Gastroenterology","To Be Discontinued","","02/06/2024","02/06/2024","","","","","","",""
"Methamphetamine Hydrochloride Tablet","Dr. Reddy's Laboratories, Inc.","866-732-3952","Tablet, 5 mg (NDC 68308-115-01)","Reverified","07/23/2024","Available","Available to existing customers","","Shortage of an active ingredient","Psychiatry","Current","","","03/17/2023","","","","","","",""
"Methamphetamine Hydrochloride Tablet","Hikma Pharmaceuticals USA, Inc.","800-631-2174","Tablet, 5 mg (NDC 0054-0389-25)","Reverified","07/25/2024","Unavailable","","","Shortage of an active ingredient","Psychiatry","Current","","","03/17/2023","","","","","","",""
"Methotrexate Sodium Injection","Hikma Pharmaceuticals USA, Inc.","800-631-2174","Methotrexate Injection, USP Preservative Free, Injection, 1 g (NDC 0143-9830-01)","Reverified","07/25/2024","Available","Currently available.  Additional product will be made available as it is released.","","","Rheumatology; Oncology","Current","","","03/13/2023","","","","","","",""
"Methotrexate Sodium Injection","Hikma Pharmaceuticals USA, Inc.","800-631-2174","Methotrexate Injection,USP Preservative Free, Injection, 25 mg/1 mL (NDC 0143-9519-10)","Reverified","07/25/2024","Available","Additional lots are scheduled to be manufactured.  Product will be made available as it is released.","","","Rheumatology; Oncology","Current","","","03/13/2023","","","","","","",""
"Methotrexate Sodium Injection","Teva Pharmaceuticals USA, Inc.","800-545-8800","Methotrexate Sodium Preservative Free, Injection, 25 mg/1 mL (NDC 0703-3671-01)","Reverified","07/19/2024","Limited Availability","Estimated recovery July 2024","","Demand increase for the drug","Rheumatology; Oncology","Current","","","03/13/2023","","","","","","",""
"Methotrexate Sodium Injection","Teva Pharmaceuticals USA, Inc.","800-545-8800","Methotrexate Sodium Preservative Free, Injection, 25 mg/1 mL (NDC 0703-3675-01)","Revised","07/19/2024","Available","","","","Rheumatology; Oncology","Current","","","03/13/2023","","","","","","",""
"Methotrexate Sodium Injection","Teva Pharmaceuticals USA, Inc.","800-545-8800","Methotrexate Sodium Preservative Free, Injection, 25 mg/1 mL (NDC 0703-3678-01)","Reverified","07/19/2024","Available","","","","Rheumatology; Oncology","Current","","","03/13/2023","","","","","","",""
"Methotrexate Sodium Injection","Hospira, Inc., a Pfizer Company","844-646-4398","Methotrexate, Injection, 50 mg/2 mL (25 mg/mL) (NDC 61703-350-38)","Revised","07/30/2024","Limited Availability","Limited Supply Available. Next Delivery: July 2024; Estimated Recovery: September 2024","","Demand increase for the drug","Rheumatology; Oncology","Current","","","03/13/2023","","","","","","",""
"Methotrexate Sodium Injection","Hospira, Inc., a Pfizer Company","844-646-4398","Methotrexate, Injection, 50 mg/2 mL  (25 mg/mL) (NDC 61703-350-10)","Revised","07/30/2024","Limited Availability","Limited Supply Available. Next Delivery: July 2024; Estimated Recovery: September 2024","","Demand increase for the drug","Rheumatology; Oncology","Current","","","03/13/2023","","","","","","",""
"Methotrexate Sodium Injection","Hospira, Inc., a Pfizer Company","844-646-4398","Methotrexate, Injection, 1 g/40 mL (25 mg/mL)  (NDC 61703-408-41)","Revised","07/30/2024","Available","","","","Rheumatology; Oncology","Current","","","03/13/2023","","","","","","",""
